target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,k_button2_started,l_button2_started,j_button2_stopped,k_button2_stopped,l_button2_stopped,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.4257819999475,38.4257819999475,38.4257819999475,space,15.9185784999281,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,space,0.734019300201908,56.194662099937,56.194662099937,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,0,0,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,58.14459169982,60.1478241998702,prac,2,2,2,neutral,negative,62.1939493999816,62.1939493999816,62.1939493999816,62.1939493999816,63.1611442998983,63.2286390999798,l,l,1,5.9502248999197,69.142508899793,69.142508899793,69.142508899793,70.1604777998291,70.1604777998291,70.1604777998291,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,1,1,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,positive,negative,70.1604777998291,70.1604777998291,70.1604777998291,70.1604777998291,71.16052509984,71.1936488999054,l,l,1,6.50967560010031,77.661781999981,77.661781999981,77.661781999981,78.7126819998957,78.7126819998957,78.7126819998957,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,2,2,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,negative,positive,78.7126819998957,78.7126819998957,78.7126819998957,78.7126819998957,79.694175099954,79.7608752998058,j,j,1,3.69508920004591,83.3789557998534,83.3789557998534,83.3789557998534,84.4114023998845,84.4114023998845,84.4114023998845,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,3,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,84.4114023998845,84.4114023998845,84.4114023998845,84.4114023998845,85.4116095998324,85.4448605999351,k,k,1,3.44227729993872,88.84612929984,88.84612929984,88.84612929984,89.8784606999252,89.8784606999252,89.8784606999252,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,4,4,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,positive,negative,89.8784606999252,89.8784606999252,89.8784606999252,89.8784606999252,90.8782213998493,90.9125949998852,l,l,1,2.0769349001348,92.9462311998941,92.9462311998941,92.9462311998941,93.9789709998295,93.9789709998295,93.9789709998295,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,5,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,neutral,negative,93.9789709998295,93.9789709998295,93.9789709998295,93.9789709998295,94.9782189999241,95.011375800008,l,l,1,2.31312489998527,97.2800085998606,97.2800085998606,97.2800085998606,98.3121689998079,98.3121689998079,98.3121689998079,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,6,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,neutral,positive,98.3121689998079,98.3121689998079,98.3121689998079,98.3121689998079,99.3290292997845,99.3290292997845,j,j,1,2.66137020010501,101.963271499844,101.963271499844,101.963271499844,102.996133999899,102.996133999899,102.996133999899,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,negative,neutral,102.996133999899,102.996133999899,102.996133999899,102.996133999899,103.995642900001,104.029073599959,k,k,1,2.2776866001077,106.263999099843,106.263999099843,106.263999099843,107.296033399878,107.296033399878,107.296033399878,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,8,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,negative,negative,107.296033399878,107.296033399878,107.296033399878,107.296033399878,108.296367699979,108.329101199983,l,l,1,1.54110480006784,109.862695199903,109.862695199903,109.862695199903,109.862695199903,109.862695199903,109.862695199903,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,9,9,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,2,negative,neutral,109.862695199903,109.862695199903,109.862695199903,109.862695199903,110.83121289988,110.896547099808,k,k,1,2.26869200007059,113.097415299853,113.097415299853,113.097415299853,114.130153100006,114.130153100006,114.130153100006,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,2,neutral,neutral,114.130153100006,114.130153100006,114.130153100006,114.130153100006,NaN,NaN,k,k,1,-0.325374000007287,114.829973599873,114.829973599873,114.829973599873,117.862917599967,117.862917599967,117.862917599967,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
