target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,10.9897547999863,27.838565980061,None,38.854938399978,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,44.0216016999912,None,prac,2,2,1,negative,negative,l,l,1,1.42443459993228,46.0468776000198,47.0524599000346,47.0357730999822,None,46.0468776000198,None,46.0468776000198,None,46.0468776000198,None,48.4715323800687,None,48.4715323800687,None,48.4715323800687,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,1,1,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.647989600081928,48.4760546999751,49.4881605000701,49.4715795000084,None,48.4760546999751,None,48.4760546999751,None,48.4760546999751,None,50.1215993800201,None,50.1215993800201,None,50.1215993800201,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,2,2,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,neutral,positive,j,j,1,0.581849799957126,50.1248082000529,51.1381043000147,51.1215628000209,None,50.1248082000529,None,50.1248082000529,None,50.1248082000529,None,51.7048206800595,None,51.7048206800595,None,51.7048206800595,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,3,3,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,0.648502800031565,51.7076514000073,52.7214380999794,52.7048403000226,None,51.7076514000073,None,51.7076514000073,None,51.7076514000073,None,53.3547658800147,None,53.3547658800147,None,53.3547658800147,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,4,4,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.731733999913558,53.3578238000628,54.3714184999699,54.3548353000078,None,53.3578238000628,None,53.3578238000628,None,53.3578238000628,None,55.0880924800644,None,55.0880924800644,None,55.0880924800644,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,5,5,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,positive,j,j,1,0.646370499976911,55.0916051000822,56.1021412999835,56.0854768999852,None,55.0916051000822,None,55.0916051000822,None,55.0916051000822,None,56.735509979981,None,56.735509979981,None,56.735509979981,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,6,6,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.582081699976698,56.7354747999925,57.7355534000089,57.7355534000089,None,56.7354747999925,None,56.7354747999925,None,56.7354747999925,None,58.3188994800206,None,58.3188994800206,None,58.3188994800206,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,7,7,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,0.581168600008823,58.3204600000754,59.3354992000386,59.3188090000767,None,58.3204600000754,None,58.3204600000754,None,58.3204600000754,None,59.9021843800787,None,59.9021843800787,None,59.9021843800787,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,8,8,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,1.31783790001646,59.9055577999679,60.9047027999768,60.9047027999768,None,59.9055577999679,None,59.9055577999679,None,59.9055577999679,None,62.2213811800815,None,62.2213811800815,None,62.2213811800815,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
