target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,52.9245736000012,30.1128975699976,None,83.0585285999987,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,0,0,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,86.2586324000149,None,prac,2,2,2,positive,positive,j,j,1,1.86425230000168,88.2787752000149,89.2893900000199,89.2727164000098,None,88.2787752000149,None,88.2787752000149,None,88.2787752000149,None,91.1394687000138,None,91.1394687000138,None,91.1394687000138,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,1,1,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,1.08605140002328,92.1474999999919,93.1586133000092,93.1419246000005,None,92.1474999999919,None,92.1474999999919,None,92.1474999999919,None,94.2244318699959,None,94.2244318699959,None,94.2244318699959,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,2,2,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,l,l,1,0.932139799988363,94.236968000012,95.24180660001,95.2252245999989,None,94.236968000012,None,94.236968000012,None,94.236968000012,None,96.1583868700109,None,96.1583868700109,None,96.1583868700109,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,3,3,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,negative,l,l,1,0.913183600001503,96.1699611000076,97.1749860999989,97.1586010000028,None,96.1699611000076,None,96.1699611000076,None,96.1699611000076,None,98.0728626700147,None,98.0728626700147,None,98.0728626700147,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,4,4,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,1.01546339999186,98.0808397000073,99.088975599996,99.0717226999986,None,98.0808397000073,None,98.0808397000073,None,98.0808397000073,None,100.089207969999,None,100.089207969999,None,100.089207969999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,5,5,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,0.865660799987381,100.097709499998,101.105910400016,101.089235699998,None,100.097709499998,None,100.097709499998,None,100.097709499998,None,101.957049870005,None,101.957049870005,None,101.957049870005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,6,6,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.90000819999841,101.97226770001,102.975081200013,102.958404800011,None,101.97226770001,None,101.97226770001,None,101.97226770001,None,103.858283669993,None,103.858283669993,None,103.858283669993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,7,7,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,0.863130200013984,103.877051000018,104.891665100004,104.858316400001,None,103.877051000018,None,103.877051000018,None,103.877051000018,None,105.722758169999,None,105.722758169999,None,105.722758169999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,8,8,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.848879600001965,105.733419099997,106.741581600014,106.708288399997,None,105.733419099997,None,105.733419099997,None,105.733419099997,None,107.572728970015,None,107.572728970015,None,107.572728970015,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
