target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,17.99965230003,39.5219336300099,None,57.5524203000241,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,0,0,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,60.7215181000065,None,prac,1,1,2,negative,neutral,k,k,1,1.60084460000508,62.7404103000299,63.7548398000072,63.7215921999887,None,62.7404103000299,None,62.7404103000299,None,62.7404103000299,None,65.3392472999985,None,65.3392472999985,None,65.3392472999985,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,1,1,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.737476400041487,66.3521926000249,67.3522360000061,67.3355361000285,None,66.3521926000249,None,66.3521926000249,None,66.3521926000249,None,68.0855708299961,None,68.0855708299961,None,68.0855708299961,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,2,2,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,j,j,1,0.93084110005293,68.0888094000402,69.102241799992,69.0855311999912,None,68.0888094000402,None,68.0888094000402,None,68.0888094000402,None,70.0189485300391,None,70.0189485300391,None,70.0189485300391,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,3,3,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,j,j,1,0.734220399986953,70.0251603000215,71.0380940000177,71.0214543000329,None,70.0251603000215,None,70.0251603000215,None,70.0251603000215,None,71.7548433300282,None,71.7548433300282,None,71.7548433300282,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,4,4,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,0.815362700028345,71.7578916000202,72.7713370000129,72.7547140000388,None,71.7578916000202,None,71.7578916000202,None,71.7578916000202,None,73.5714396300202,None,73.5714396300202,None,73.5714396300202,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,5,5,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,j,j,1,0.781214100017678,73.574934400036,74.5879362000269,74.5713757000049,None,73.574934400036,None,73.574934400036,None,73.574934400036,None,75.3547267299902,None,75.3547267299902,None,75.3547267299902,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,6,6,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,negative,j,j,1,0.713757299992722,75.3577899000375,76.3711985000409,76.3545998000191,None,75.3577899000375,None,75.3577899000375,None,75.3577899000375,None,77.0694682300265,None,77.0694682300265,None,77.0694682300265,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,7,7,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.76440869999351,77.0757797000115,78.0878176999977,78.0712430000422,None,77.0757797000115,None,77.0757797000115,None,77.0757797000115,None,78.8353072300262,None,78.8353072300262,None,78.8353072300262,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,8,8,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,j,j,1,0.698612200038042,78.835355999996,79.8352949999971,79.8352949999971,None,78.835355999996,None,78.835355999996,None,78.835355999996,None,80.5353864300007,None,80.5353864300007,None,80.5353864300007,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,9,9,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.651135200052522,80.5388077000389,81.5377957000164,81.5212110999855,None,80.5388077000389,None,80.5388077000389,None,80.5388077000389,None,82.1877889300406,None,82.1877889300406,None,82.1877889300406,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,10,10,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,l,l,1,0.746366299979854,82.1903029000387,83.2043329000007,83.1878283999977,None,82.1903029000387,None,82.1903029000387,None,82.1903029000387,None,83.9356434300018,None,83.9356434300018,None,83.9356434300018,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,11,11,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,j,j,1,0.71749919996364,83.9395167999901,84.9544225999853,84.9210961000063,None,83.9395167999901,None,83.9395167999901,None,83.9395167999901,None,85.6545767300006,None,85.6545767300006,None,85.6545767300006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,12,12,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,l,l,1,0.796454399998765,85.6578813000233,86.671052700025,86.6544253000175,None,85.6578813000233,None,85.6578813000233,None,85.6578813000233,None,87.4522031300177,None,87.4522031300177,None,87.4522031300177,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,13,13,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,l,l,1,0.699330399977043,87.4580182000063,88.4709864000324,88.4376992000034,None,87.4580182000063,None,87.4580182000063,None,87.4580182000063,None,89.151770529995,None,89.151770529995,None,89.151770529995,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,14,14,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,positive,l,l,1,0.664538500015624,89.1522161000175,90.151774500031,90.151774500031,None,89.1522161000175,None,89.1522161000175,None,89.1522161000175,None,90.8185130300291,None,90.8185130300291,None,90.8185130300291,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,15,15,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,neutral,k,k,1,0.700984600000083,90.8214426999912,91.8211109000258,91.8044319000328,None,90.8214426999912,None,90.8214426999912,None,90.8214426999912,None,92.520938830002,None,92.520938830002,None,92.520938830002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,16,16,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,l,l,1,0.648997999960557,92.5234472000157,93.5375576000079,93.5209811000386,None,92.5234472000157,None,92.5234472000157,None,92.5234472000157,None,94.171062030032,None,94.171062030032,None,94.171062030032,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,17,17,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,l,l,1,0.698379500012379,94.1740666000405,95.1875352000352,95.1709802999976,None,94.1740666000405,None,94.1740666000405,None,94.1740666000405,None,95.8708551300399,None,95.8708551300399,None,95.8708551300399,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,1,0,18,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,l,l,1,0.679664700001013,95.8738385000033,96.8875030000345,96.8709122000146,None,95.8738385000033,None,95.8738385000033,None,95.8738385000033,None,97.5517528299999,None,97.5517528299999,None,97.5517528299999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,1,1,19,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,neutral,negative,j,j,1,0.814944199984893,97.5577974999906,98.5707957000122,98.5375198000111,None,97.5577974999906,None,97.5577974999906,None,97.5577974999906,None,99.368290230009,None,99.368290230009,None,99.368290230009,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,negative,1,l,j,NaN,NaN,NaN,NaN,1,2,20,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,l,l,1,0.649054599984083,99.3682195000001,100.368205200008,100.368205200008,None,99.3682195000001,None,99.3682195000001,None,99.3682195000001,None,101.018272530014,None,101.018272530014,None,101.018272530014,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
